Id,Age,Gender,EducGroup,EducGroupCat
101-APACSadd,21,1,4,university degree
102-APACSadd,37,0,5,phd
103-APACSadd,21,0,4,university degree
104-APACSadd,50,1,4,university degree
105-APACSadd,53,0,4,university degree
106-APACSadd,42,1,5,phd
107-APACSadd,37,1,4,university degree
108-APACSadd,31,0,4,university degree
109-APACSadd,34,0,4,university degree
110-APACSadd,32,1,4,university degree
111-APACSadd,32,1,5,phd
112-APACSadd,47,0,4,university degree
113-APACSadd,54,1,2,secondary vocational
114-APACSadd,18,0,1,incomplete secondary vocational
115-APACSadd,32,1,5,phd
116-APACSadd,28,0,5,phd
117-APACSadd,27,1,5,phd
118-APACSadd,38,0,4,university degree
119-APACSadd,21,0,3,incomplete university degree
120-APACSadd,33,0,4,university degree
121-APACSadd,72,1,2,secondary vocational
122-APACSadd,65,1,4,university degree
123-APACSadd,27,1,5,phd
124-APACSadd,73,1,4,university degree
